winner,loser,white_pieces,black_pieces,moves,evaluations,material_advantage,move_count
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"g1f3, d8h4, f3h4, d7d6, b1c3, g8f6, c3b5, f6d7, b5c7, e8e7, d2d4, b8c6, c7a8, d7b6, d4d5, c8g4, c1g5, e7e8, d1g4, c6a5, a8c7","[0.0045, 0.0771, 0.0765, 0.0765, 0.0749, 0.0756, 0.075, 0.1061, 0.1043, 0.1125, 0.1126, 0.1125, 0.1157, 0.1125, 0.1124, 0.1495, 0.1567, 0.1841, 0.999, 0.9999, 1.0]","0, 0, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 15, 15, 15, 15, 15, 15, 18, 18, 18",21
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g2g4, d7d5, a2a4, b8c6, g1h3, h7h5, e4e5, h5g4, h3g1, c6e5, f2f4, d8h4, e1e2, e5g6, g1h3, g4h3, a1a2, g6f4, e2f3, e6e5, b2b3, f4d3, a2b2, h4f2","[-0.0089, -0.0097, -0.0134, -0.0139, -0.0256, -0.0237, -0.0378, -0.0357, -0.0366, -0.0376, -0.0627, -0.0617, -0.0605, -0.06, -0.0846, -0.0797, -0.1496, -0.1653, -0.1648, -0.1905, -0.9996, -0.9997, -0.9999, -1.0]","0, 0, 0, 0, 0, 0, 0, -1, -1, -2, -2, -2, -2, -2, -2, -5, -5, -6, -6, -6, -6, -6, -6, -6",24
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"d2d4, f8b4, c2c3, e8e7, c3b4, d7d6, b1c3, h7h5, c1g5, e7e8, g5d8, h8h6, d8c7, h6f6, c3b5, g8h6, c7d6, b8a6, d1h5, c8d7, h5g5, f6g6, g5e7","[0.0041, 0.0103, 0.0101, 0.0633, 0.0625, 0.0661, 0.0657, 0.0687, 0.0671, 0.0807, 0.0824, 0.1153, 0.1138, 0.1257, 0.1299, 0.1363, 0.1401, 0.1394, 0.1441, 0.1495, 0.1536, 0.9999, 1.0]","0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 12, 12, 13, 13, 13, 13, 14, 14, 15, 15, 15, 15, 15",23
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"h2h4, d5e4, e1e2, c8g4, f2f3, e4f3, g2f3, g4f5, c2c3, e7e5, b2b3, b8c6, d2d4, e5d4, g1h3, f8c5, c1g5, g8f6, f1g2, h7h6, h1f1, d8e7, e2f2, d4c3, d1d4, c5d4, f2g3, h6g5, h3g1, h8h4, f1c1, f6h5","[-0.0103, -0.0118, -0.0288, -0.0283, -0.0281, -0.0287, -0.0285, -0.0291, -0.035, -0.0327, -0.0398, -0.0421, -0.0478, -0.0491, -0.0603, -0.0594, -0.0635, -0.0653, -0.073, -0.0741, -0.0966, -0.103, -0.1016, -0.0993, -0.1868, -0.2036, -0.2178, -0.3039, -0.9994, -0.9995, -0.9999, -1.0]","0, -1, -1, -1, -1, -2, -1, -1, -1, -1, -1, -1, -1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -3, -3, -12, -12, -15, -15, -16, -16, -16",32
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"f8b4, c2c3, g8e7, c3b4, e6e5, g1f3, b8d7, b1c3, a7a5, b4b5, e7g8, d3d4, h7h6, f1e2, d8g5, c1g5, g8e7, g5e7, b7b6, e7a3, e5d4, c3d5, d7b8, d1d4, c8a6, d5c7","[0.0192, 0.0192, 0.0554, 0.0564, 0.0568, 0.0547, 0.0643, 0.0618, 0.0628, 0.0615, 0.0699, 0.0701, 0.0728, 0.073, 0.1071, 0.1091, 0.1185, 0.1224, 0.1297, 0.1346, 0.1449, 0.1588, 0.3039, 0.9994, 0.9999, 1.0]","1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 13, 13, 16, 16, 16, 15, 15, 15, 16, 16, 17",26
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"f1d3, g8f6, d3e2, f6e4, g2g4, d8h4, g1f3, h4f2","[-0.0015, -0.0021, -0.0106, -0.0109, -0.0535, -0.0509, -0.9999, -1.0]","0, 0, 0, -1, -1, -1, -1, -2",8
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"f7f5, e4f5, f8e7, d1h5, e8d7, f5e6, d7e6, d3d4, h7h6, f1c4, e6d6, h5d5","[0.0212, 0.0213, 0.0299, 0.0289, 0.041, 0.0428, 0.0398, 0.0402, 0.0675, 0.0705, 0.9999, 1.0]","1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2",12
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"f6e4, g1f3, d7d5, h2h4, d5c4, f3g1, f8c5, d1h5, c5f2, e1e2, e4g3, e2f2, d8d4, f2e1, g3h5, b1c3, d4g4, c3b5, g4g2, g1f3, g2g3, e1f1, g3f3, f1g1, h5g3, h4h5, f3f1, g1h2, f1f2","[-0.0157, -0.0179, -0.0177, -0.0565, -0.0559, -0.0743, -0.0724, -0.0896, -0.0957, -0.1135, -0.1212, -0.1219, -0.123, -0.1239, -0.1229, -0.1242, -0.1244, -0.1442, -0.1472, -0.999, -0.9992, -0.9994, -0.9995, -0.9996, -0.9997, -0.9998, -0.9999, -0.9999, -1.0]","-1, -1, -1, -1, -4, -4, -4, -4, -5, -5, -5, -2, -2, -2, -11, -11, -11, -11, -12, -12, -12, -12, -15, -15, -15, -15, -15, -15, -15",29
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"b7b5, a2a4, d8f6, a4b5, c8b7, c2c3, f6f2, e1f2, b7e4, g1f3, e8d8, f3e5, f8c5, b4c5, b8c6, b5c6, e4d5, e2e4, g8h6, e4d5, a8b8, e5d7, h6g4, d1g4, b8b1, a1b1, h7h5, b1b8, d8e7, g4e2","[-0.0007, 0.0007, 0.0055, 0.0055, 0.0078, 0.0084, 0.067, 0.067, 0.0738, 0.0739, 0.0915, 0.0929, 0.1112, 0.1171, 0.1251, 0.1275, 0.1326, 0.1346, 0.1487, 0.1545, 0.1695, 0.1782, 0.9989, 0.9994, 0.9997, 0.9998, 0.9998, 0.9999, 0.9999, 1.0]","0, 0, 0, 1, 1, 1, 0, 9, 9, 9, 9, 10, 10, 13, 13, 16, 16, 16, 16, 19, 19, 20, 20, 23, 20, 25, 25, 25, 25, 25",30
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g2g3, d5e4, h2h3, b8c6, b1c3, g8f6, g1e2, h7h5, c3d5, f6d5, h1g1, c8f5, a1b1, e7e6, f2f3, e4f3, c2c3, f5b1, c3c4, d8f6, e2d4, f3f2, e1e2, c6d4","[-0.0133, -0.0148, -0.013, -0.0141, -0.0146, -0.0154, -0.0193, -0.0192, -0.0609, -0.0602, -0.067, -0.067, -0.0732, -0.072, -0.0886, -0.0857, -0.1112, -0.1122, -0.1299, -0.1349, -0.9998, -0.9999, -0.9999, -1.0]","0, -1, -1, -1, -1, -1, -1, -1, -1, -4, -4, -4, -4, -4, -4, -5, -5, -10, -10, -10, -10, -10, -10, -13",24
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"c4d5, b7b5, e2e4, f7f6, f1b5, c8d7, b5c4, d7h3, g1h3, f6f5, e4f5, e7e6, d1h5, e8d7, f5e6, d7e7, h5f7, e7d6, d2d4, b8a6, c1f4","[0.0074, 0.0208, 0.0212, 0.0462, 0.0487, 0.0467, 0.0463, 0.0811, 0.0806, 0.0871, 0.0879, 0.0905, 0.09, 0.0925, 0.0934, 0.9993, 0.9994, 0.9994, 0.9995, 0.9999, 1.0]","1, 1, 1, 1, 2, 2, 2, 2, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7",21
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"d1e2, d5e4, e2d1, b8c6, f2f4, c8f5, f1c4, e7e6, g1f3, e4f3, a2a3, f3g2, d2d4, g2h1q, e1d2, d8d4, d2e2, h1d1","[-0.0074, -0.0062, -0.0191, -0.0188, -0.027, -0.0269, -0.0316, -0.0326, -0.067, -0.0706, -0.1321, -0.141, -0.9992, -0.9993, -0.9994, -0.9995, -0.9999, -1.0]","0, -1, -1, -1, -1, -1, -1, -1, -1, -4, -4, -5, -5, -18, -18, -19, -19, -28",18
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"b8a6, b1c3, a6b4, d2d4, e7e6, g1f3, b4d3, f1d3, g8h6, e1g1, h6f5, e4f5, d8e7, f1e1, e6e5, c3d5, c7c5, f3e5, e7g5, c1g5, f7f6, d1h5, e8d8, e5f7","[0.0126, 0.0111, 0.015, 0.0153, 0.0146, 0.0159, 0.0642, 0.0624, 0.0693, 0.0664, 0.0866, 0.084, 0.0938, 0.0913, 0.1121, 0.1186, 0.1376, 0.1385, 0.9994, 0.9995, 0.9995, 0.9996, 0.9999, 1.0]","0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 7, 7, 16, 16, 16, 16, 16",24
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"c7c5, h2h3, c5d4, d1d4, g8f6, c1g5, b8c6, g5d2, c6d4, d2h6, d4c2, e1d2, c2a1, b2b4, d8c7, d2d3, c7c4, d3e3, c4e4, e3d2, e4b1, h6g5, f8b4, d2e3, b1e4","[-0.002, -0.0074, -0.0056, -0.0073, -0.0074, -0.0107, -0.0118, -0.0666, -0.0666, -0.1248, -0.1282, -0.1308, -0.1349, -0.1663, -0.1927, -0.9993, -0.9994, -0.9994, -0.9995, -0.9995, -0.9996, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, -1, 0, 0, 0, 0, 0, -9, -9, -10, -10, -15, -15, -15, -15, -15, -15, -15, -15, -18, -18, -19, -19, -19",25
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"e4d5, c5c4, f1c4, d8d7, b1c3, b8a6, c4b5, e7e5, g1f3, g8h6, f3e5, h6g4, e5d7, a6c5, d7c5, e8e7, d5d6, e7f6, d1f3, f6g5, f3f7, a7a5, h2h4, g5h6, f7f4, h6h5, f4g5","[0.0017, 0.0242, 0.0243, 0.037, 0.0389, 0.0642, 0.068, 0.0697, 0.071, 0.0755, 0.077, 0.0975, 0.102, 0.1312, 0.1344, 0.1522, 0.18, 0.2292, 0.2594, 0.9994, 0.9995, 0.9997, 0.9998, 0.9998, 0.9999, 0.9999, 1.0]","1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 12, 12, 15, 15, 15, 15, 15, 15, 16, 16, 16, 16, 16, 16, 16",27
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"b2b3, g8f6, c2c4, f6e4, f2f4, d8h4, e1e2, h4f2, e2d3, f2d4, d3c2, d4a1, f1e2, a1a2, c1b2, b8c6, d2d4, c6d4, c2c1, d4b3, d1b3, a2b3, h2h3, f8b4, b1c3, b4c3, h1h2, b3b2, c1d1, e4f2","[-0.0078, -0.0075, -0.0183, -0.0187, -0.0346, -0.0338, -0.0674, -0.0652, -0.0687, -0.0679, -0.0679, -0.0674, -0.0755, -0.0792, -0.0753, -0.0832, -0.1074, -0.1107, -0.1186, -0.118, -0.1264, -0.1304, -0.1399, -0.1422, -0.9995, -0.9996, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -6, -6, -7, -7, -7, -7, -8, -8, -9, -6, -15, -15, -15, -15, -18, -18, -21, -21, -21",30
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"b8a6, b1c3, e7e5, f1a6, d8e7, a6c4, e7h4, g1f3, g8f6, f3h4, c7c5, c3b5, h7h6, b5c7, e8e7, c7a8, d7d6, d1f3, h8g8, f3b3, e7d8, c4f7, f6g4, f7g8, g4e3, d2e3, b7b5, b3f7, g7g6, f7c7, d8e8, g8f7","[0.0119, 0.0117, 0.0176, 0.0158, 0.055, 0.0553, 0.0644, 0.0662, 0.0979, 0.0979, 0.1075, 0.1054, 0.1194, 0.1172, 0.1226, 0.1256, 0.128, 0.1288, 0.1304, 0.1381, 0.1424, 0.1454, 0.1896, 0.2356, 0.9993, 0.9994, 0.9994, 0.9995, 0.9998, 0.9999, 0.9999, 1.0]","0, 0, 0, 3, 3, 3, 3, 3, 3, 12, 12, 12, 12, 12, 12, 17, 17, 17, 17, 17, 17, 18, 18, 23, 23, 26, 26, 26, 26, 26, 26, 26",32
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"e2e3, e7e6, d1b3, c7c5, f1d3, b8c6, g1e2, f8d6, b3c2, c6b4, c4d5, b4c2, e1f1, c2a1, g2g4, e6d5, h2h3, h7h5, d3a6, b7a6, g4h5, d8f6, b1c3, f6f3, a2a3, f3h1, e2g1, c8h3, f1e1, h1g1, e1e2, h3f1, e2e1, f1d3","[0.0012, 0.0015, -0.0042, -0.0042, -0.0103, -0.0104, -0.0125, -0.0119, -0.0299, -0.0305, -0.061, -0.0616, -0.0911, -0.0947, -0.1057, -0.1071, -0.1087, -0.1112, -0.13, -0.1326, -0.1374, -0.1464, -0.1604, -0.1828, -0.9993, -0.9994, -0.9994, -0.9995, -0.9997, -0.9998, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -8, -8, -13, -13, -14, -14, -14, -14, -17, -16, -16, -16, -16, -16, -21, -21, -22, -22, -25, -25, -25, -25, -25",34
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"g8f6, e4e5, e7e6, e5f6, g7g5, d2d4, f8b4, c2c3, d8e7, f6e7, f7f6, d1h5, e8e7, c3b4, e7f8, h5h6, f8g8, f1e2, b7b5, e2h5, d7d5, h6f6, a7a6, f6f7","[0.0064, 0.0069, 0.038, 0.0392, 0.0453, 0.0439, 0.0601, 0.0601, 0.0961, 0.0979, 0.119, 0.1221, 0.1206, 0.1219, 0.1517, 0.1557, 0.1724, 0.4929, 0.9995, 0.9996, 0.9998, 0.9999, 0.9999, 1.0]","0, 0, 0, 3, 3, 3, 3, 3, 3, 12, 12, 12, 11, 14, 14, 14, 14, 14, 14, 14, 14, 15, 15, 15",24
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g8f6, d1a4, b8c6, a4a3, f8a3, h2h3, a3c5, e2e4, f6e4, f1d3, e4f2, d3g6, h7g6, a2a4, d8h4, b2b4, f2d3, e1e2, h4e4, e2f1, e4e1","[-0.004, -0.0076, -0.0091, -0.0718, -0.0725, -0.0888, -0.0884, -0.1165, -0.1174, -0.1409, -0.1426, -0.1546, -0.1597, -0.2429, -0.9992, -0.9996, -0.9997, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, 0, 0, -9, -9, -9, -9, -10, -10, -11, -11, -14, -14, -14, -14, -14, -14, -14, -14, -14",21
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"a7a6, d2d3, f6e4, d3e4, f8b4, c2c3, h8g8, c3b4, f7f5, d1h5, e8e7, c1g5, e7d6, h5d1, d6c6, d1d5, c6b6, d5c5","[-0.0004, -0.0003, 0.041, 0.0436, 0.0437, 0.041, 0.0779, 0.0755, 0.1469, 0.1605, 0.9996, 0.9997, 0.9997, 0.9998, 0.9998, 0.9999, 0.9999, 1.0]","0, 0, -1, 2, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",18
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"e7e5, f2f3, d7d5, c2c3, b8c6, b1a3, f8a3, b2b4, a3c1, d1a4, c1d2, e1d1, d2c3, a4a6, b7a6, e2e4, d5e4, d1c1, d8d2, c1b1, d2d1","[-0.0029, -0.0145, -0.0124, -0.0165, -0.0164, -0.0172, -0.018, -0.0631, -0.0602, -0.072, -0.0716, -0.1057, -0.1079, -0.1387, -0.1435, -0.9995, -0.9996, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, 0, 0, 0, 0, -3, -3, -6, -6, -7, -7, -8, -8, -17, -17, -18, -18, -18, -18, -18",21
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"e4d5, b8c6, d5c6, h7h5, g1f3, a8b8, b1c3, f7f5, c6b7, g7g5, b7c8q, a7a5, c8f5, h8h6, f3e5, h6b6, f5f7","[0.0067, 0.0535, 0.0552, 0.0596, 0.0593, 0.0667, 0.0645, 0.0692, 0.0682, 0.0857, 0.0857, 0.1737, 0.2124, 0.9996, 0.9997, 0.9999, 1.0]","1, 1, 4, 4, 4, 4, 4, 4, 5, 5, 16, 16, 17, 17, 17, 17, 17",17
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"c2c4, d7d5, c4d5, e6d5, f1a6, b8a6, d1a4, c8d7, g2g3, d7a4, d2d4, a6b4, g1h3, b4c2, e1d2, d5e4, h1e1, d8d4, d2e2, a4b5","[0.0, 0.0005, -0.0017, -0.0003, -0.0572, -0.0566, -0.0683, -0.0661, -0.1107, -0.1123, -0.113, -0.1135, -0.1229, -0.1243, -0.1495, -0.159, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, 1, 0, 0, -3, -3, -3, -3, -12, -12, -12, -12, -12, -12, -13, -13, -14, -14, -14",20
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"c8d7, g1f3, d8h4, f3h4, g7g6, b1c3, h7h6, f1c4, d7b5, c3b5, a7a5, b5c7, e8d8, c7a8, b7b6, d1f3, b8c6, f3f7, c6a7, f7a7, d8c8, a7c7","[0.007, 0.0067, 0.0748, 0.0757, 0.0765, 0.0767, 0.0785, 0.077, 0.107, 0.1053, 0.131, 0.1312, 0.1331, 0.1335, 0.1449, 0.1499, 0.1764, 0.1923, 0.9994, 0.9996, 0.9999, 1.0]","0, 0, 0, 9, 9, 9, 9, 9, 9, 12, 12, 13, 13, 18, 18, 18, 18, 19, 19, 22, 22, 22",22
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"e7e5, b2b4, f8b4, h2h4, d7d5, c1a3, b4a3, f2f3, a3e7, a2a4, e7h4, h1h4, d8h4, g2g3, h4g3","[-0.0028, -0.0153, -0.0151, -0.0269, -0.025, -0.0294, -0.0315, -0.0764, -0.0749, -0.9997, -0.9998, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, -1, -1, -1, -1, -4, -4, -4, -4, -5, -2, -7, -7, -8",15
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"e4d5, g8f6, f1b5, d8d7, b5d7, e8d7, c2c4, d7e8, d2d3, f6e4, d3e4, f7f5, e4e5, e8f7, e5e6, c8e6, d5e6, f7e8, c1f4, g7g5, f4c7, h7h6, d1h5","[0.0006, 0.0047, 0.0028, 0.0621, 0.0614, 0.071, 0.0709, 0.0739, 0.0724, 0.0875, 0.087, 0.0934, 0.0975, 0.0975, 0.098, 0.1173, 0.1179, 0.9997, 0.9998, 0.9998, 0.9999, 0.9999, 1.0]","1, 1, 1, 1, 10, 7, 7, 7, 7, 7, 10, 10, 10, 10, 10, 9, 12, 12, 12, 12, 12, 12, 12",23
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g8f6, a2a3, c7c5, d1a4, b8c6, a4d1, d7d5, e2e4, d5e4, g1e2, h7h5, d2d4, e5d4, h1g1, c6e5, d1d3, e5d3, e1d1, d3f2, d1c2, d4d3, c2b3, c8e6, h2h3, e6c4, b3c4, d8d5, c4c3, e4e3, g2g3, f2d1","[-0.0031, -0.0064, -0.0053, -0.0081, -0.0082, -0.0116, -0.0133, -0.034, -0.0309, -0.035, -0.0375, -0.0511, -0.0513, -0.0607, -0.0613, -0.134, -0.1365, -0.1383, -0.1381, -0.1567, -0.16, -0.1773, -0.2036, -0.9995, -0.9996, -0.9996, -0.9997, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -2, -2, -2, -2, -11, -11, -12, -12, -12, -12, -12, -12, -13, -10, -10, -10, -10, -10, -10",31
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"e4d5, e8d7, d2d4, e7e6, d5e6, d7d6, e6f7, b7b5, f7g8b, d6e7, d1e2, e7d7, e2e6","[0.0085, 0.0265, 0.0261, 0.0409, 0.04, 0.0599, 0.0582, 0.0827, 0.0811, 0.9996, 0.9997, 0.9999, 1.0]","1, 1, 1, 1, 2, 2, 3, 3, 8, 8, 8, 8, 8",13
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g8f6, d1a4, b8c6, e2e3, d7d5, h2h4, d5d4, b1a3, d4e3, a4a6, e3f2, e1e2, f2g1n, e2f2, d8d4, f2e1, d4e4, f1e2, e4e2","[-0.004, -0.01, -0.0066, -0.0111, -0.0103, -0.0225, -0.0216, -0.0437, -0.0443, -0.1194, -0.1213, -0.1445, -0.1581, -0.9993, -0.9994, -0.9994, -0.9995, -0.9999, -1.0]","0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2, -2, -7, -7, -7, -7, -7, -7, -10",19
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"d2d4, b8c6, g1f3, a7a5, b1c3, h7h5, d4d5, f8a3, b2a3, a8b8, d5c6, g8e7, c6d7, e8f8, f3e5, e7d5, d7c8q, d5f4, d1d8","[0.0029, 0.0091, 0.0072, 0.0113, 0.0116, 0.0184, 0.0181, 0.061, 0.0642, 0.0775, 0.0764, 0.0805, 0.0792, 0.0871, 0.0884, 0.1103, 0.1162, 0.9999, 1.0]","0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 6, 6, 7, 7, 7, 7, 18, 18, 27",19
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"f8b4, g1f3, e5e4, f3g5, d8g5, c1a3, b4a3, b1a3, g5e7, d2d3, e7a3, c2c3, a3c3, d1d2, c3a1, d2c1, a1c1","[-0.0157, -0.0187, -0.0169, -0.0569, -0.0578, -0.0645, -0.0638, -0.064, -0.0627, -0.0801, -0.0777, -0.1092, -0.1135, -0.1148, -0.1151, -0.9999, -1.0]","-1, -1, -1, -1, -4, -4, -7, -4, -4, -4, -7, -7, -8, -8, -13, -13, -22",17
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"c7c6, c2c4, g7g5, d2d4, c6c5, c1g5, d8b6, b1c3, b6g6, g1f3, b8a6, f1d3, f7f6, g5e3, h7h6, f3h4, d7d6, h4g6, a6b8, g6h8, f8g7, d1h5, e8f8, h5f7","[0.0036, 0.0025, 0.0161, 0.0154, 0.0179, 0.0198, 0.0261, 0.0267, 0.031, 0.0296, 0.0344, 0.0361, 0.0367, 0.0424, 0.0534, 0.0529, 0.1021, 0.1057, 0.1324, 0.1335, 0.155, 0.1663, 0.9999, 1.0]","0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 10, 10, 15, 15, 15, 15, 15",24
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"d1g4, b8c6, c2c4, d7d5, e1e2, c8g4, e2e1, d5e4, g1h3, c6d4, f1d3, e4d3, b2b3, g4e2, c1a3, d4c2","[-0.0088, -0.0079, -0.0322, -0.033, -0.0919, -0.0907, -0.1046, -0.1062, -0.1353, -0.146, -0.1532, -0.2336, -0.9995, -0.9996, -0.9999, -1.0]","0, 0, 0, 0, 0, -9, -9, -10, -10, -10, -10, -13, -13, -13, -13, -13",16
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"e4d5, g8h6, d2d4, a7a5, b1c3, c8g4, d1d3, a5a4, d3g3, e8d7, c1h6, e7e6, g3g4, h8g8, d5e6, d7c6, d4d5, c6d6, g4b4, c7c5, b4f4, d6e7, f4f7, e7d6, h6f4","[0.007, 0.0135, 0.0137, 0.0177, 0.0178, 0.0257, 0.0312, 0.0341, 0.0343, 0.0615, 0.0627, 0.0683, 0.0678, 0.0916, 0.0893, 0.1828, 0.1954, 0.9996, 0.9997, 0.9997, 0.9998, 0.9998, 0.9999, 0.9999, 1.0]","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9",25
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g8f6, c1h6, g7h6, f3h4, f8g7, b2b4, a7a5, h4f5, e6f5, b1a3, a5b4, g2g3, a8a3, h1g1, c7c5, e1d2, b4b3, c2c4, f6e4, d2e3, b3b2, d1b3, a3b3, e3f4, d8g5","[-0.0012, -0.0501, -0.0486, -0.0566, -0.0568, -0.0614, -0.0582, -0.0825, -0.0789, -0.0841, -0.0852, -0.0904, -0.0948, -0.1043, -0.1075, -0.1289, -0.139, -0.999, -0.9991, -0.9991, -0.9992, -0.9992, -0.9993, -0.9999, -1.0]","0, 0, -3, -3, -3, -3, -3, -3, -6, -6, -7, -7, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -19, -19, -19",25
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"e4d5, c8f5, f1b5, b8d7, d2d4, e7e6, d5e6, e8e7, e6d7, g7g6, d1e2, e7f6, e2e5","[0.0063, 0.0113, 0.0131, 0.0105, 0.0078, 0.0167, 0.0169, 0.0674, 0.0675, 0.0893, 0.0928, 0.9999, 1.0]","1, 1, 1, 1, 1, 1, 2, 2, 5, 5, 5, 5, 5",13
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"e4e5, c7c5, h2h3, b8c6, c2c3, c6e5, f1c4, e5c4, g1e2, b7b6, d2d3, c4d6, d1b3, c8b7, e1d1, d6f5, b3c4, f8e7, b1d2, g8f6, c4d4, c5d4, e2g3, f5g3, a2a4, g3h1, d2c4, d7d5, c1g5, d5c4, f2f3, d4c3, g5h6, d8d3, d1e1, e7c5, g2g3, c5f2","[-0.0024, -0.0026, -0.0108, -0.011, -0.0136, -0.0133, -0.063, -0.0629, -0.0629, -0.0631, -0.0623, -0.0622, -0.0695, -0.0678, -0.0795, -0.0773, -0.0815, -0.0779, -0.0778, -0.0777, -0.1124, -0.1144, -0.1201, -0.1244, -0.1502, -0.1536, -0.154, -0.1604, -0.1786, -0.1868, -0.9991, -0.9993, -0.9995, -0.9996, -0.9997, -0.9998, -0.9999, -1.0]","0, 0, 0, 0, 0, -1, -1, -4, -4, -4, -4, -4, -4, -4, -4, -4, -4, -4, -4, -4, -4, -13, -13, -16, -16, -21, -21, -21, -21, -24, -24, -25, -25, -26, -26, -26, -26, -26",38
